,policy_name,policy_title,jurisdiction,policy_instrument,sector,policy_description,policy_type,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,last_update,Scope,Ambition,Implementation,Innovation,Total Score
198,The Green Fuels Challenge,The Green Fuels Challenge United Kingdom (2001),Country,"Fiscal or financial incentives, Policy support","Electricity and heat, Transport",,"Renewables, Other low-carbon technologies and fuel switch",Ended,2001,,2003,Unknown,Mitigation,,2,4,5,3,3.5
199,The Greenhouse Gas Emissions Trading Scheme Order,The Greenhouse Gas Emissions Trading Scheme Order United Kingdom (2020),Country,"Economic instruments, Market-based instruments, GHG emissions allowances","Electricity and heat, General, Industry, Transport, Air","This order established a new UK emissions trading regime. The new UK- ETS applies to GHG emissions from power and heat generations, energy intensive industries, and aviation.  It also provides details on the rules governing the issuance of ""allowances"".",Unknown,In force,2020,2021,,Unknown,Mitigation,01/05/2021,2,5,2,4,3.5
200,The National Adaptation Programme,The National Adaptation Programme United Kingdom (2013),Country,Strategic planning,General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Non-energy use, Other low-carbon technologies and fuel switch",In force,2013,,,Unknown,Mitigation,,4,5,3,1,3.2
201,The national emission target under the EU Effort Sharing Decision,The national emission target under the EU Effort Sharing Decision United Kingdom (2009),Country,"GHG reduction target, Formal & legally binding GHG reduction target",General,The national emission target for UK under the EU Effort Sharing Decision is 16% reduction of greenhouse gas emissions in 2020 compared to 2005 level.,"Energy service demand reduction and resource efficiency, Energy efficiency, Other low-carbon technologies and fuel switch, Renewables, Non-energy use",Ended,2009,,2020,Unknown,Mitigation,,2.5,2,3,3,2.6
202,The Renewable Transport Fuel Obligation Order,The Renewable Transport Fuel Obligation Order United Kingdom (2007),Country,Obligation schemes,Transport,The Order establishes a quota scheme for biofuels.,Renewables,In force,2007,,,Unknown,Mitigation,,3,2,2,2,2.2
203,Transport Decarbonisation Strategy,Transport Decarbonisation Strategy United Kingdom (2021),Country,"Policy support, Strategic planning, Target","Transport, Low-emissions mobility","This stategy sets out a framework to decarbonize the UK's transport sector. It includes several commitments, such as:
1. Increasing cycling and walking
2. Increasing the share of zero emissions buses: at least 4000 new zero emissions buses and associated infrastructure will be rolled out, with a phase-out date for ICE buses to be determined soon
3. Decarbonizing railways: the objective is to have a zero emissions railway network by 2050, and to remove all diesel-only trains from the network by 2040.
4. A zero emissions fleet of cars, vans, motorcycles and scooters: this includes an interim target of 25% of the government fleet being ultra-low emissions by 2022, and to a 100% by 2027. It includes plans for the development of the required charging infrastructure.
5. Accelerating maritime decarbonization
6. Accelerating aviation decarbonization",Other low-carbon technologies and fuel switch,In force,2021,2021,,High,Mitigation,01/01/2022,3,5,3,1,3
204,UK Clean Growth Strategy,UK Clean Growth Strategy United Kingdom (2017),Country,Formal & legally binding climate strategy,General,"The UK Clean Growth Strategy is based on the following pillars : 1) Accelerating clean growth; 2) Improving business and industry efficiency (25% of UK emissions); 3) Improving housing (13% of UK emissions); 4) Accelerating the shift to low-carbon transport (24% of UK emissions); 5) Delivering clean, smart, flexible power (21% of UK emissions); 6) Enhancing the benefits and value of natural resources (15% of UK emissions); 7) Leading in the public sector (2% of UK emissions); and 8) Government leadership in driving clean growth. (For details, see reference.) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",In force,2017,,,High,Mitigation,,2,3,2,4,2.9
205,,,,,,,,,,,,,,,3,5,2,3,3.4
206,UK Emissions Trading Scheme,UK Emissions Trading Scheme United Kingdom (2002),Country,"Market-based instruments, GHG emission reduction crediting and offsetting mechanism, GHG emissions allowances","Industry, Electricity and heat",,"Energy service demand reduction and resource efficiency, Energy efficiency, Other low-carbon technologies and fuel switch, Renewables, Non-energy use",Ended,2002,,,Unknown,Mitigation,,5,5,2,2,3.5
207,UK Implements EU Linking Directive,UK Implements EU Linking Directive United Kingdom (2005),Country,"Market-based instruments, GHG emission reduction crediting and offsetting mechanism, GHG emissions allowances","Industry, Electricity and heat",,"Energy service demand reduction and resource efficiency, Energy efficiency, Other low-carbon technologies and fuel switch, Renewables, Non-energy use",In force,2005,,,Unknown,Mitigation,,2.5,2.5,3,5,3.35
208,UK Incentives for EV Ownership,UK Incentives for EV Ownership United Kingdom (2017),City,Fiscal or financial incentives,"Transport, Low-emissions mobility","Incentives for EVs such as free parking are decided at local level. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2017,,,Unknown,Mitigation,,3,3,4,4,3.5
209,,,,,,,,,,,,,,,3,2,3,1,2.1
210,UK Net Zero Research and Innovation Framework: Delivery Plan 2022-2025,UK Net Zero Research and Innovation Framework: Delivery Plan 2022-2025 United Kingdom (2023),Country,"Economic instruments, Direct investment, RD&D funding",Electricity and heat,The UK Net Zero Research and Innovation Framework entails a government investment exceeding £4 billion from 2022 to 2025. This funding is dedicated to the development of technologies crucial for achieving the nation's net zero goals. It emphasizes supporting businesses within the green economy and addressing urgent challenges that the market may struggle to tackle independently.,"Renewables, Other low-carbon technologies and fuel switch",In force,2023,2022,2025,,Mitigation,23/02/2024,4,2,3,2,2.6
211,UK Renewable Energy Roadmap,UK Renewable Energy Roadmap United Kingdom (2011),Country,"Fiscal or financial incentives, Grants and subsidies","Electricity and heat, Renewables, Transport, Low-emissions mobility",Executive,Renewables,In force,2011,,,Unknown,Mitigation,,2.5,5,3,3,3.5
212,Ultra Low Emission Taxi Scheme,Ultra Low Emission Taxi Scheme United Kingdom (2015),City,Grants and subsidies,"Transport, Low-emissions mobility, Light-duty vehicles","This funding is in addition to £40 million already committed by the Mayor of London to compensate taxi drivers whose vehicles are affected by new tighter age limits to retire the oldest, most polluting taxis. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2015,,,Unknown,"Mitigation, Air pollution",,2,2,4,1,2.1
213,Ultra Low Emission Trucks Scheme,Ultra Low Emission Trucks Scheme United Kingdom (2017),Country,Grants and subsidies,"Transport, Low-emissions mobility, Heavy-duty vehicles","Vans were to go electric and lorries to run on hydrogen dual-fuel under a £20 million government programme to cut emissions and improve air quality. The funding, announced at the Sustainable Road Transport Conference, in central London, was being given to 20 firms who set out plans for innovative ways to deploy low and zero emission vehicles. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2017,,,Unknown,"Mitigation, Air pollution",,5,5,5,1,3.8
214,Ultra Low Emission Vehicle R&D,Ultra Low Emission Vehicle R&D United Kingdom (2014),Country,"Research programme, Technology development","Transport, Low-emissions mobility, Heavy-duty vehicles, Light-duty vehicles","The government made £100m available to further bolster the UK’s position as a key destination for ultra low emission vehicle R&D. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy service demand reduction and resource efficiency,In force,2014,,,Unknown,Mitigation,,5,3,2,5,3.8
215,Ultra Low Emission Zone (ULEZ) London,Ultra Low Emission Zone (ULEZ) London United Kingdom (2019),City,Energy and other taxes,"Transport, Low-emissions mobility, Heavy-duty vehicles, Light-duty vehicles","The Ultra Low Emission Zone (ULEZ) replaced the T-Charge on 8 April 2019. It operates 24 hours a day, 7 days a week, every day of the year (except Christmas Day), within the same area as the Congestion Charge zone. Most vehicles, including cars and vans, need to meet the ULEZ emissions standards or their drivers must pay a daily charge to drive within the zone. As of January 2020, the fees are: £12.50 for most vehicle types, including cars, motorcycles and vans (up to and including 3.5 tonnes); £100 for heavier vehicles, including lorries (over 3.5 tonnes) and buses/coaches (over 5 tonnes). (See references for detailed information on requirements and standards.)",Other low-carbon technologies and fuel switch,In force,2019,,,Unknown,Mitigation,,3,5,2,5,4
216,Vehicle Excise Duty (VED): fuel type and CO2 emission vehicle bands,Vehicle Excise Duty (VED): fuel type and CO2 emission vehicle bands United Kingdom (2001),Country,Energy and other taxes,"Transport, Light-duty vehicles",,"Energy efficiency, Other low-carbon technologies and fuel switch",In force,2001,,,Unknown,Mitigation,,2,3,5,5,3.8
217,Voluntary Agreement on the Phase Out of Incandescent Light Bulbs,Voluntary Agreement on the Phase Out of Incandescent Light Bulbs United Kingdom (2007),Country,"Negotiated agreements (public-private sector), Voluntary approaches","Buildings, Appliances",,Energy efficiency,Ended,2007,,,Unknown,Mitigation,,2.5,5,2,4,3.6
218,Warm Front Scheme,Warm Front Scheme United Kingdom (2000),Subnational region,Grants and subsidies,Buildings,"The Warm Front scheme provided grants for packages of insulation and heating measures to vulnerable households in the private sector in England of up to GBP 3 500 (or GBP 6 000 where oil central heating or other alternative technologies are recommended). It was focused on citizens in receipt of certain income-related benefits. It ended in December 2012. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,Ended,2000,,,Unknown,Mitigation,,4,5,2,4,3.9
219,,,,,,,,,,,,,,,2.5,2.5,4,5,3.55
220,Woodland Carbon Guarantee - carbon capture,Woodland Carbon Guarantee - carbon capture United Kingdom (2020),Country,"Fiscal or financial incentives, Tendering schemes","Agriculture and forestry, Forestry","The Woodland Carbon Guarantee is an incentive scheme to help accelerate woodland planting rates across
England. These new woodlands will permanently remove CO2 from the atmosphere.
The guaranteed price for your CO2 is agreed with the government through an online reverse auction. In order to bid in the auction, the applicant need to calculate how much money will be needed(per tonne of CO2) to the planting project be viable and worthwhile. If the bid is successful in the auction, the government will buy the CO2 for the bid price.
 ",Non-energy use,In force,2020,2020,,High,"Land use, Mitigation",01/05/2021,2.5,3,2,2,2.4
221,Zero Emissions Vehicle Mandate,Zero Emissions Vehicle Mandate United Kingdom (2023),Country,"Policy support, Strategic planning",Transport,"The UK aims for 80% of new cars and 70% of new vans sold in Great Britain to be zero-emission by 2030, reaching 100% by 2035. This transition is pivotal for reducing emissions from the transportation sector and achieving climate targets.",Renewables,In force,2023,,2035,,Mitigation,23/02/2024,4,5,2,1,3
222,ZeroCarbonCity,ZeroCarbonCity United Kingdom (2005),Country,"Policy support, Information and education",General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Other low-carbon technologies and fuel switch, Renewables, Non-energy use",Ended,2005,,2007,Unknown,Mitigation,,5,2.5,5,4,3.95
